Brand,Name,Category,Size and Price,Description,ImageURL
1028,一秒瞬白素顏霜,乳霜,30g / NT$ 580,悶熱、溫度舒適、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/89614/1/_160x160_89614.jpg
1028,久耀閃閃打亮盤,修容餅,8g / NT$ 350,悶熱、寒冷、溫度舒適、氣候潮濕、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/90927/1/_160x160_90927.jpg
1028,山茶花精萃護唇膏,護唇膏,2.5g / NT$ 149,悶熱,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/103539/1/_160x160_103539_20211117030828KledKPaHBq.jpeg
1028,??深邃小眼影刷,刷具,/ NT$ 150,寒冷、氣候潮濕,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/89754/1/_160x160_89754.jpg
1028,天生完美眉膠粉,多功能彩妝,1.5g / NT$ 320,悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/81383/1/_160x160_81383.jpg
1028,天生完美鏡光唇釉,唇釉,2.7g / NT$ 380,換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/81384/1/_160x160_81384.jpg
1028,太妃糖眼妝盒,眼影盤,2.1g*6 / NT$ 499,換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/52873/1/_160x160_52873_w_250xh_250xfar_C.jpg
1028,日夜奇蹟睫毛修復精華,睫毛液,4g*2 / NT$ 360,--,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/34914/1/_160x160_34914_w_250xh_250xfar_C.jpg
1028,毛孔縮縮無痕慕絲,其它妝前,13g / NT$ 380,換季、寒冷、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/images/product_default_160x160.png
1028,水感提亮抗曬乳SPF50+★★★,臉部防曬,30g / NT$ 399,換季、悶熱,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/75222/1/_160x160_75222.jpg
1028,水滴舒芙蕾粉撲,海綿粉撲,1pcs / NT$ 135,寒冷、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/116000/1/_160x160_116000_20231227082424HFymnKDFRD.jpg
1028,水護罩輕感抗曬乳SPF50+★★★★,身體防曬,40ml / NT$ 350,悶熱、氣候潮濕、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/101242/1/_160x160_101242_20220513045401OEcYhuIkfF.jpg
1028,加勒比海人魚眼線液,眼線液,0.6g / NT$ 360,寒冷、氣候乾燥、氣候潮濕、溫差大,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/49215/1/_160x160_49215_w_250xh_250xfar_C.jpg
1028,加勒比海黑寶石睫毛膏(濃俏型),睫毛膏,8g / NT$ 380,換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/48686/1/_160x160_48686_w_250xh_250xfar_C.jpg
1028,加勒比海黑寶石睫毛膏(纖長型),睫毛膏,8g / NT$ 380,換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/48968/1/_160x160_48968_w_250xh_250xfar_C.jpg
1028,布朗尼眼妝盒,眼影盤,2.1g*6 / NT$ 499,悶熱、寒冷、氣候乾燥、氣候潮濕、溫差大,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/46352/1/_160x160_46352_w_250xh_250xfar_C.jpg
1028,幼咪咪化妝棉,化妝棉,40/70入 / NT$ 69/109,--,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/108578/1/_160x160_108578_20221224052452qGqsoxofJQ.png
1028,光采肌密亮白粉凝霜SPF42 PA++,粉霜,12g / NT$ 680,換季、寒冷,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/55221/1/_160x160_55221_w_250xh_250xfar_C.jpg
1028,光透白BB雙效底妝棒,其它妝前,20ml +3g / NT$ 380,換季、氣候潮濕、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/36184/1/_160x160_36184_w_250xh_250xfar_C.jpg
1028,光影雕塑輪廓餅,修容餅,15g / NT$ 420,--,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/26516/1/_160x160_26516_w_250xh_250xfar_C.jpg
1028,全面防護抗曬乳SPF50+★★★,臉部防曬,/ NT$ 399,換季、悶熱、溫度舒適,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/70112/1/_160x160_70112_w_250xh_250xfar_C.jpg
1028,全效保濕CC精華霜SPF30/PA++,CC霜,30ml / NT$ 450,換季、氣候乾燥、溫差大,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/68358/1/_160x160_68358_w_250xh_250xfar_C.jpg
1028,全效美白CC精華霜SPF50 PA+++,CC霜,30ml / NT$ 420,悶熱、寒冷、氣候乾燥、氣候潮濕,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/55220/1/_160x160_55220_w_250xh_250xfar_C.jpg
1028,全效美白防曬隔離乳SPF50 PA+++,臉部防曬,35ml / NT$ 390,換季、悶熱、溫度舒適、氣候乾燥、氣候潮濕、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/58921/1/_160x160_58921_w_250xh_250xfar_C.jpg
1028,匠人系迷你澎潤腮紅刷 MF12,刷具,/ NT$ 240,悶熱,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/110849/1/_160x160_110849_20230407012304yAkIBNBzTN.jpg
1028,向上對策緊緻面膜,保養面膜,5入 / NT$ 299,換季、悶熱、寒冷、氣候乾燥、溫差大,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/79880/1/_160x160_79880.jpg
